Medium,51, Nigel, 15:04, 28 2 2024
Medium,54, Nigel, 0:45, 27 2 2024
Medium,58, Nigel, 22:35, 30 1 2024
Medium,60, Nigel, 0:00, 15 6 2024
Medium,61, Nigel, 19:53, 9 12 2023
Medium,61, Nigel, 0:35, 27 2 2024
Medium,61, Nigel, 12:24, 23 3 2024
Medium,61, Nigel, 13:40, 15 6 2024
Medium,65, Nigel, 14:46, 28 2 2024
Medium,65, Nigel, 14:50, 28 2 2024
Medium,65, Nigel, 12:08, 23 3 2024
Medium,67, Nigel, 23:03, 29 1 2024
Medium,67, Nigel, 0:44, 27 2 2024
Medium,68, Nigel, 16:44, 25 10 2023
Medium,68, Nigel, 0:07, 12 12 2023
Medium,68, Nigel, 1:51, 8 5 2024
Medium,69, Nigel, 0:24, 22 4 2024
Medium,69, Nigel, 1:21, 15 6 2024
Medium,70, Nigel, 1:49, 22 10 2023
Medium,70, Nigel, 18:06, 14 6 2024
Medium,71, Nigel, 22:57, 29 1 2024
Medium,71, Nigel, 23:35, 14 6 2024
Medium,72, Nigel, 16:57, 4 11 2023
Medium,72, Nigel, 14:33, 17 11 2023
Medium,72, Nigel, 19:16, 9 12 2023
Medium,72, Nigel, 14:40, 28 2 2024
Medium,73, Nigel, 1:38, 3 11 2023
Medium,73, Nigel, 0:18, 12 12 2023
Medium,74, Nigel, 13:25, 4 11 2023
Medium,74, Nigel, 19:37, 9 12 2023
Medium,74, Nigel, 1:04, 23 1 2024
Medium,74, Nigel, 22:59, 29 1 2024
Medium,74, Nigel, 0:22, 22 4 2024
Medium,75, Nigel, 2:44, 8 5 2024
Medium,76, Nigel, 6:12, 7 11 2023
Medium,77, Nigel, 12:51, 23 3 2024
Medium,78, Nigel, 18:20, 26 12 2023
Medium,78, Nigel, 20:52, 16 6 2024
Medium,79, Nigel, 14:48, 28 2 2024
Medium,79, Nigel, 23:58, 14 6 2024
Medium,80, Nigel, 19:39, 9 12 2023
Medium,80, Nigel, 21:00, 7 1 2024
Medium,80, Nigel, 12:06, 23 3 2024
Medium,80, Nigel, 23:57, 14 6 2024
Medium,80, Nigel, 1:19, 15 6 2024
Medium,81, Nigel, 14:58, 28 2 2024
Medium,81, Nigel, 15:30, 1 4 2024
Medium,83, Nigel H, 11:30, 19 10 2023
Medium,83, Nigel, 23:51, 21 4 2024
Medium,84, Nigel, 13:03, 13 5 2024
Medium,85, Nigel, 19:23, 9 12 2023
Medium,85, Nigel, 0:12, 22 4 2024
Medium,86, Nigel, 16:55, 4 11 2023
Medium,86, Nigel, 23:22, 30 12 2023
Medium,86, Nigel, 16:17, 2 4 2024
Medium,87, Nigel, 12:47, 23 3 2024
Medium,88, Nigel, 14:44, 28 2 2024
Medium,89, Nigel H, 15:55, 19 10 2023
Medium,89, Nigel, 12:30, 23 3 2024
Medium,90, Nigel, 14:51, 28 2 2024
Medium,91, Nigel, 14:54, 28 2 2024
Medium,92, Nigel, 19:38, 12 12 2023
Medium,92, Nigel, 16:57, 9 5 2024
Medium,93, Nigel, 23:53, 14 6 2024
Medium,95, Nigel, 19:36, 12 12 2023
Medium,96, Nigel, 14:42, 28 2 2024
Medium,98, Nigel, 1:16, 5 11 2023
Medium,98, Nigel, 12:28, 23 3 2024
Medium,99, Nigel, 14:20, 9 5 2024
Medium,101, Nigel, 6:33, 7 11 2023
Medium,102, Nigel, 12:44, 7 5 2024
Medium,105, Nigel, 2:56, 5 11 2023
Medium,108, Nigel H, 15:53, 19 10 2023
Medium,109, Nigel, 14:27, 17 11 2023
Medium,111, Nigel, 6:35, 7 11 2023
Medium,113, Nigel, 16:43, 25 10 2023
Medium,113, Nigel, 23:49, 14 6 2024
Medium,120, Nigel, 2:30, 5 11 2023
Medium,138, Nigel, 6:31, 7 11 2023
Medium,155, Nigel, 1:12, 5 11 2023
Medium,190, Nigel_No_Flag, 16:22, 4 12 2023
Medium,196, Nigel, 0:20, 22 4 2024
Medium,264, Beth, 20:12, 7 5 2024
Medium,287, Nigel, 14:04, 15 6 2024
Medium,662, Alex F, 1:39, 22 10 2023
